date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:10:02	85/85	U--MCZ	200	updated ('OK')	text/plain	date:Fri,%2013%20Feb%202026%2003:10:01%20GMT	https://sites.google.com/robots.txt		(from )
04:10:02	212748/212748	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/index.html	(from )
04:10:02	176826/176826	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/POST	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/POST.0.delayed	(from https://sites.google.com/view/guidempf/)
04:10:03	176830/176830	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/_/ss/	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_/ss/index.html	(from https://sites.google.com/view/guidempf/)
04:10:03	177762/177762	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9/tableaux-milice	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9/tableaux-milice.html	(from https://sites.google.com/view/guidempf/)
04:10:03	210205/210205	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9.html	(from https://sites.google.com/view/guidempf/)
04:10:03	212751/212751	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:02%20GMT	https://sites.google.com/view/guidempf/accueil	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/accueil.html	(from https://sites.google.com/view/guidempf/)
04:10:03	224987/224987	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:03%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques.html	(from https://sites.google.com/view/guidempf/)
04:10:04	177773/177773	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:03%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9/rapport-division	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9/rapport-division.html	(from https://sites.google.com/view/guidempf/)
04:10:04	234859/234859	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:04%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/rct	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/rct.html	(from https://sites.google.com/view/guidempf/)
04:10:05	226067/226067	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:04%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/03	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/03.html	(from https://sites.google.com/view/guidempf/)
04:10:12	232022/232022	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:04%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/05	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/05.html	(from https://sites.google.com/view/guidempf/)
04:10:12	198710/198710	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:04%20GMT	https://sites.google.com/view/guidempf/radio-mdp	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/radio-mdp.html	(from https://sites.google.com/view/guidempf/)
04:10:12	264514/264514	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:05%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/conscription	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/conscription.html	(from https://sites.google.com/view/guidempf/)
04:10:13	221408/221408	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:05%20GMT	https://sites.google.com/view/guidempf/loyalisme	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/loyalisme.html	(from https://sites.google.com/view/guidempf/)
04:10:13	242914/242914	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:12%20GMT	https://sites.google.com/view/guidempf/jugement	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/jugement.html	(from https://sites.google.com/view/guidempf/)
04:10:13	212476/212476	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:13%20GMT	https://sites.google.com/view/guidempf/contrebande	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/contrebande.html	(from https://sites.google.com/view/guidempf/)
04:10:14	225486/225486	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:13%20GMT	https://sites.google.com/view/guidempf/codex	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/codex.html	(from https://sites.google.com/view/guidempf/)
04:10:14	225911/225911	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:13%20GMT	https://sites.google.com/view/guidempf/hi%c3%a9rarchie	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/hi%c3%a9rarchie.html	(from https://sites.google.com/view/guidempf/)
04:10:14	199004/199004	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:13%20GMT	https://sites.google.com/view/guidempf/liens-utiles	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/liens-utiles.html	(from https://sites.google.com/view/guidempf/)
04:10:14	205336/205336	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:14%20GMT	https://sites.google.com/view/guidempf/guide	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide.html	(from https://sites.google.com/view/guidempf/)
04:10:15	210965/210965	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:14%20GMT	https://sites.google.com/view/guidempf/guide/dispatch-hautparleur	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/dispatch-hautparleur.html	(from https://sites.google.com/view/guidempf/)
04:10:46	201835/201835	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:15%20GMT	https://sites.google.com/view/guidempf/guide/commandement	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/commandement.html	(from https://sites.google.com/view/guidempf/)
04:10:48	219137/219137	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:15%20GMT	https://sites.google.com/view/guidempf/guide/terminologie	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/terminologie.html	(from https://sites.google.com/view/guidempf/)
04:10:53	209886/209886	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:15%20GMT	https://sites.google.com/view/guidempf/guide/code-vestimentaire	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/code-vestimentaire.html	(from https://sites.google.com/view/guidempf/)
04:10:56	216841/216841	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:15%20GMT	https://sites.google.com/view/guidempf/guide/respect-salutations	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/respect-salutations.html	(from https://sites.google.com/view/guidempf/)
04:11:17	222913/222913	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:49%20GMT	https://sites.google.com/view/guidempf/guide/br%c3%a8ches-de-protocoles	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/br%c3%a8ches-de-protocoles.html	(from https://sites.google.com/view/guidempf/)
04:11:18	213917/213917	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:56%20GMT	https://sites.google.com/view/guidempf/guide/sociostatus	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/sociostatus.html	(from https://sites.google.com/view/guidempf/)
04:11:18	266351/266351	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:47%20GMT	https://sites.google.com/view/guidempf/guide/divisions	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/divisions.html	(from https://sites.google.com/view/guidempf/)
04:11:18	208865/208865	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:10:54%20GMT	https://sites.google.com/view/guidempf/guide/formation-compl%c3%a9mentaires	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/guide/formation-compl%c3%a9mentaires.html	(from https://sites.google.com/view/guidempf/)
04:11:19	223380/223380	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:18%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales.html	(from https://sites.google.com/view/guidempf/)
04:11:19	177430/177430	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:19%20GMT	https://sites.google.com/view/guidempf/%22https://docs.google.com/forms/d/e/1FAIpQLScZWBTDALrTfCuQK22t8wgJNPN8rZfW8rCrhkb_TebtIHm_8g/viewform%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/docs.google.com/forms/d/e/1FAIpQLScZWBTDALrTfCuQK22t8wgJNPN8rZfW8rCrhkb_TebtIHm_8g/viewform_.24.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9)
04:11:37	232826/232826	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:18%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/test-loyaut%c3%a9	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/test-loyaut%c3%a9.html	(from https://sites.google.com/view/guidempf/)
04:11:37	213613/213613	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:19%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/incarc%c3%a9ration	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/incarc%c3%a9ration.html	(from https://sites.google.com/view/guidempf/)
04:11:37	215473/215473	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:19%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/code-7-escouade	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/code-7-escouade.html	(from https://sites.google.com/view/guidempf/)
04:11:38	234282/234282	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:19%20GMT	https://sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/dispatch-administateur	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/proc%c3%a9dure-g%c3%a9n%c3%a9ales/dispatch-administateur.html	(from https://sites.google.com/view/guidempf/)
04:11:38	185510/185510	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:38%20GMT	https://sites.google.com/view/guidempf/carte-cit%c3%a9-17	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/carte-cit%c3%a9-17.html	(from https://sites.google.com/view/guidempf/)
04:11:38	177466/177466	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:38%20GMT	https://sites.google.com/view/guidempf/%22https://docs.google.com/forms/d/e/1FAIpQLSer-BzLy5Pld4mNA5GqGUmoQi8LnvDHh0ki0AlC5qJBwMvSjA/viewform%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/docs.google.com/forms/d/e/1FAIpQLSer-BzLy5Pld4mNA5GqGUmoQi8LnvDHh0ki0AlC5qJBwMvSjA/viewform_.25.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9)
04:11:38	215611/215611	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:38%20GMT	https://sites.google.com/view/guidempf/cwu	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cwu.html	(from https://sites.google.com/view/guidempf/)
04:11:39	209285/209285	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:38%20GMT	https://sites.google.com/view/guidempf/cwu/procedure-cwu-mpf	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cwu/procedure-cwu-mpf.html	(from https://sites.google.com/view/guidempf/)
04:11:39	214539/214539	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:11:38%20GMT	https://sites.google.com/view/guidempf/scanner-et-central	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/scanner-et-central.html	(from https://sites.google.com/view/guidempf/)
04:11:39	177466/177466	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:39%20GMT	https://sites.google.com/view/guidempf/%22https://docs.google.com/forms/d/e/1FAIpQLSdbFBWhuiu6tGY2VYQuKtUo8dSx8B3aiiGsIsZuJfA51eqhbg/viewform%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/docs.google.com/forms/d/e/1FAIpQLSdbFBWhuiu6tGY2VYQuKtUo8dSx8B3aiiGsIsZuJfA51eqhbg/viewform_.26.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9)
04:11:40	177181/177181	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:39%20GMT	https://sites.google.com/view/guidempf/%22https://sites.google.com/view/guidempf/liens-utiles?authuser=0%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/sites.google.com/view/guidempf/liens-utiles.27196e.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9)
04:11:40	177430/177430	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:40%20GMT	https://sites.google.com/view/guidempf/%22https://docs.google.com/forms/d/e/1FAIpQLSfLJ28omVQ3etJD-okrgi5WeBLdxswoep2We9ADAHch4WHY8g/viewform%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/docs.google.com/forms/d/e/1FAIpQLSfLJ28omVQ3etJD-okrgi5WeBLdxswoep2We9ADAHch4WHY8g/viewform_.28.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9)
04:11:41	176906/176906	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:41%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9/POST	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9/POST.29.delayed	(from https://sites.google.com/view/guidempf/activit%c3%a9/tableaux-milice)
04:11:42	176953/176953	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:42%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/POST	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/POST.2a.delayed	(from https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/rct)
04:11:43	177339/177339	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:42%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/%22https://sites.google.com/view/guidempf/guide/sociostatus?authuser=0%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/_https_/sites.google.com/view/guidempf/guide/sociostatus.2b196e.delayed	(from https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/rct)
04:11:43	177268/177268	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:43%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/%22https://sites.google.com/view/guidempf/codex?authuser=0%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/_https_/sites.google.com/view/guidempf/codex.2c196e.delayed	(from https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/rct)
04:11:44	177430/177430	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:44%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/%22https://sites.google.com/view/guidempf/guide/dispatch-hautparleur?authuser=0%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques/_https_/sites.google.com/view/guidempf/guide/dispatch-hautparleur.2d196e.delayed	(from https://sites.google.com/view/guidempf/cours-th%c3%a9oriques/03)
04:11:47	177008/177008	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:46%20GMT	https://sites.google.com/view/guidempf/%22https://imgur.com/9KBxDGe.jpg%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/imgur.com/9KBxDGe.2e.delayed	(from https://sites.google.com/view/guidempf/contrebande)
04:11:47	177010/177010	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:11:47%20GMT	https://sites.google.com/view/guidempf/%22https://imgur.com/n1WO2IN.jpg%22	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_https_/imgur.com/n1WO2IN.2f.delayed	(from https://sites.google.com/view/guidempf/contrebande)
