date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:33	212837/212837	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:33%20GMT	https://sites.google.com/view/guidempf/accueil?authuser=0	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/accueile486.html	(from )
04:08:33	85/85	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Feb%202026%2003:08:33%20GMT	https://sites.google.com/robots.txt		(from )
04:08:34	176826/176826	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:08:33%20GMT	https://sites.google.com/view/guidempf/POST	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/POST.1.delayed	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:34	212778/212778	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:34%20GMT	https://sites.google.com/view/guidempf/accueil?authuser	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/accueilfd93.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:34	176830/176830	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2003:08:34%20GMT	https://sites.google.com/view/guidempf/_/ss/	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/_/ss/index.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:35	212752/212752	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:34%20GMT	https://sites.google.com/view/guidempf/accueil	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/accueil.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:35	210168/210168	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:35%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:35	35338/35338	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Feb%202026%2003:08:35%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9/tableaux-milice	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9/tableaux-milice.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:36	177773/177773	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:36%20GMT	https://sites.google.com/view/guidempf/activit%c3%a9/rapport-division	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/activit%c3%a9/rapport-division.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
04:08:37	224988/224988	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2003:08:36%20GMT	https://sites.google.com/view/guidempf/cours-th%c3%a9oriques	F:/Mes%20Sites%20Web/guidempf/sites.google.com/view/guidempf/cours-th%c3%a9oriques.html	(from https://sites.google.com/view/guidempf/accueil?authuser=0)
